ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.372,6.93,7.507,9.518,8.729,9.891,8.788,9.788,7.15,9.114,7.729,5.158,8.182,5.556,3.836,7.834,10.0,7.312,9.486,5.131,7.613,5.183,7.536,7.368,5.525,7.855,6.737,7.778,6.688,7.464,5.597,3.945,6.961
6.158,6.216,6.912,8.097,7.962,8.805,7.67,8.619,4.033,7.866,6.422,3.645,7.616,5.681,4.223,6.257,8.149,6.104,7.699,3.655,7.643,5.101,6.854,7.278,4.192,5.64,4.618,5.553,5.226,5.675,5.277,4.971,4.333
7.689,5.689,6.648,7.808,7.499,8.488,7.499,8.329,3.914,7.39,6.464,3.67,8.081,5.2,5.661,6.217,7.198,5.691,6.916,4.261,9.706,4.378,6.643,6.604,4.815,4.973,4.502,7.583,5.369,5.023,5.145,6.142,4.576
7.735,7.138,7.225,8.24,7.886,8.775,7.654,8.433,7.159,7.399,6.946,4.523,8.543,5.786,4.767,7.446,7.961,5.805,7.677,4.892,8.821,4.924,6.631,7.271,4.776,6.488,5.185,7.119,5.373,5.514,5.167,6.767,4.974
6.515,7.092,7.821,7.723,7.487,7.81,7.481,8.427,4.569,7.473,7.195,4.987,8.105,5.775,4.155,7.749,8.101,6.179,8.032,3.876,8.121,5.162,6.27,7.319,4.222,6.284,5.302,5.174,5.319,5.578,5.456,5.506,4.162
5.837,8.252,6.96,10.437,8.23,9.91,7.821,9.788,5.254,7.98,7.373,4.044,8.628,6.153,4.01,7.968,7.491,6.866,8.99,4.109,8.467,5.722,7.857,6.493,6.913,6.362,6.399,6.645,6.8,6.09,5.416,3.918,6.463
5.982,6.936,8.506,9.214,7.497,9.085,7.232,9.762,4.503,7.857,7.542,4.794,9.106,5.751,4.407,8.92,7.74,6.563,7.952,4.149,8.528,5.535,7.149,7.752,6.018,5.899,6.279,7.652,4.944,5.65,5.14,4.408,6.187
6.251,7.109,8.407,9.302,9.153,7.681,8.868,9.496,4.319,7.635,8.224,6.059,10.12,6.652,4.093,8.984,11.111,6.898,8.652,4.063,9.754,6.909,8.985,8.108,5.963,8.064,6.84,7.863,6.682,6.879,5.737,3.814,4.997
6.858,7.538,7.913,8.811,8.07,8.483,8.459,9.432,6.795,8.149,7.464,6.211,8.574,6.435,4.111,8.037,9.435,7.067,8.56,4.336,8.511,5.177,7.261,7.71,6.397,7.804,5.981,7.28,5.706,6.812,5.64,3.786,5.989
7.159,6.725,6.807,8.729,7.99,8.438,7.448,8.524,5.333,7.361,6.533,3.989,8.152,5.685,4.054,7.184,7.589,6.263,7.549,4.315,7.986,4.646,6.584,6.787,4.207,6.335,4.768,6.551,5.884,5.235,5.274,4.9,4.553
