experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,histgradboost,120,0.4,1,1,ExpandGAN,0.8104666161180397,0.8092207792207792,0.031047829198728713,HistGradientBoostingClassifier(min_samples_leaf=50),1.0
sim,svm,120,0.4,1,1,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,120,0.4,1,1,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,120,0.4,1,1,SMOTE,0.8506647580202368,0.8695670995670995,0.0010639591410624581,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,1,1,RO,0.8506137373156354,0.8695382395382395,0.001016319443328993,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,120,0.4,1,1,ExpandGAN,0.5001247374521749,0.34875901875901877,0.0012411219785071234,"SVC(C=5, gamma=0.1)",0.5
sim,svm,120,0.4,1,1,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.75
sim,svm,120,0.4,1,1,ExpandGAN,0.5002253263146275,0.3610389610389611,0.0012038727177281754,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,40,0.5,0,0,ExpandGAN,0.7690953611466985,0.7556709956709956,0.059030200749234055,HistGradientBoostingClassifier(min_samples_leaf=10),0.25
sim,histgradboost,40,0.5,0,0,GAN,0.6847289039372731,0.6645598845598846,0.06772976758337107,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",
sim,histgradboost,40,0.5,0,0,SMOTE,0.6479544147253379,0.6542857142857142,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",
sim,histgradboost,40,0.5,0,0,RO,0.6972965199884958,0.7185714285714285,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
sim,histgradboost,40,0.5,0,0,ExpandGAN,0.6758819863867318,0.6593650793650794,0.08113784352833674,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",0.5
sim,histgradboost,40,0.5,0,0,ExpandGAN,0.7433293606179715,0.7440548340548341,0.04485552962673851,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=25)",0.75
sim,histgradboost,40,0.5,0,0,ExpandGAN,0.7628094650851337,0.7670274170274171,0.04887363517250889,HistGradientBoostingClassifier(min_samples_leaf=25),1.0
sim,svm,40,0.5,0,0,ExpandGAN,0.5,0.35774891774891776,0.0,"SVC(C=1, gamma=0.1)",0.25
sim,svm,40,0.5,0,0,GAN,0.7517067424315051,0.7531890331890331,0.026229079307378778,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,0,0,SMOTE,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,0,0,RO,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,0,0,ExpandGAN,0.5,0.35774891774891776,0.0,"SVC(C=1, gamma=0.1)",0.5
sim,svm,40,0.5,0,0,ExpandGAN,0.5000775296827928,0.3547907647907648,0.0003916831139567925,"SVC(C=1, gamma=0.1)",0.75
sim,svm,40,0.5,0,0,ExpandGAN,0.5005875551604628,0.3616738816738817,0.0024980323060296793,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,40,0.5,1,0,ExpandGAN,0.7185231303544505,0.7031601731601731,0.07080674506949987,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",0.25
sim,histgradboost,40,0.5,1,0,GAN,0.6834203408836713,0.664083694083694,0.0676273153847915,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",
sim,histgradboost,40,0.5,1,0,SMOTE,0.6479544147253379,0.6542857142857142,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",
sim,histgradboost,40,0.5,1,0,RO,0.6972965199884958,0.7185714285714285,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
sim,histgradboost,40,0.5,1,0,ExpandGAN,0.6770314955711849,0.6594083694083694,0.08135070103358856,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",0.5
sim,histgradboost,40,0.5,1,0,ExpandGAN,0.7718802564035524,0.7716738816738817,0.05110590447421719,HistGradientBoostingClassifier(min_samples_leaf=25),0.75
sim,histgradboost,40,0.5,1,0,ExpandGAN,0.7645114867397007,0.7642424242424242,0.05225070363247724,HistGradientBoostingClassifier(min_samples_leaf=50),1.0
